Time [s], Analyzer Name, Decoded Protocol Result
0.000011250000000,I2C,Setup Write to [0x3A] + ACK
0.000044750000000,I2C,0x00 + ACK
0.000077000000000,I2C,0x02 + ACK
0.000109000000000,I2C,0x44 + ACK
0.000141000000000,I2C,0x40 + ACK
0.000187000000000,I2C,0x40 + ACK
0.000218750000000,I2C,0x05 + ACK
0.000250750000000,I2C,0x69 + ACK
0.000282500000000,I2C,0x17 + ACK
0.000314500000000,I2C,0x75 + ACK
0.000346250000000,I2C,0x40 + ACK
0.000378250000000,I2C,0x40 + ACK
0.000410250000000,I2C,0x06 + ACK
0.000442000000000,I2C,0x08 + ACK
0.000474000000000,I2C,0x89 + ACK
0.000505750000000,I2C,0xA4 + ACK
0.000537750000000,I2C,0x95 + ACK
0.000569750000000,I2C,0x9C + ACK
0.000601500000000,I2C,0x73 + ACK
0.000633500000000,I2C,0x02 + ACK
0.000665250000000,I2C,0x72 + ACK
0.000697250000000,I2C,0x20 + ACK
0.000729000000000,I2C,0x0B + ACK
0.000761000000000,I2C,0xAA + ACK
0.000793000000000,I2C,0xAA + ACK
0.000824750000000,I2C,0x28 + ACK
0.000856750000000,I2C,0x30 + ACK
0.000888500000000,I2C,0x40 + ACK
0.000920500000000,I2C,0x87 + ACK
0.000952250000000,I2C,0xC2 + ACK
0.000984250000000,I2C,0x25 + ACK
0.001016250000000,I2C,0x30 + ACK
0.001048000000000,I2C,0x26 + ACK
0.001080000000000,I2C,0x47 + ACK
0.002881250000000,I2C,Setup Write to [0x3A] + ACK
0.002914000000000,I2C,0x0B + ACK
0.002945750000000,I2C,0x18 + ACK
0.003877750000000,I2C,Setup Write to [0x3A] + ACK
0.003910500000000,I2C,0x0A + ACK
0.003942500000000,I2C,0x0C + ACK
0.004897250000000,I2C,Setup Write to [0x3A] + ACK
0.004930250000000,I2C,0x0B + ACK
0.004962250000000,I2C,0x18 + ACK
0.005880000000000,I2C,Setup Write to [0x3A] + ACK
0.005912750000000,I2C,0x0B + ACK
0.005944500000000,I2C,0x18 + ACK
0.006877500000000,I2C,Setup Write to [0x3A] + ACK
0.006910000000000,I2C,0x03 + ACK
0.006942000000000,I2C,0x40 + ACK
0.007878250000000,I2C,Setup Write to [0x3A] + ACK
0.007911000000000,I2C,0x0A + ACK
0.007942750000000,I2C,0x0C + ACK
0.008878000000000,I2C,Setup Write to [0x3A] + ACK
0.008910750000000,I2C,0x04 + ACK
0.008942750000000,I2C,0x05 + ACK
0.009885750000000,I2C,Setup Write to [0x3A] + ACK
0.009918500000000,I2C,0x1E + ACK
0.009950250000000,I2C,0x26 + ACK
0.010881250000000,I2C,Setup Write to [0x3A] + ACK
0.010913750000000,I2C,0x1E + ACK
0.010945750000000,I2C,0x26 + ACK
0.011880500000000,I2C,Setup Write to [0x3A] + ACK
0.011913000000000,I2C,0x1E + ACK
0.011945000000000,I2C,0x27 + ACK
0.012881000000000,I2C,Setup Write to [0x3A] + ACK
0.012913500000000,I2C,0x12 + ACK
0.012945500000000,I2C,0x72 + ACK
0.013881250000000,I2C,Setup Write to [0x3A] + ACK
0.013914000000000,I2C,0x1E + ACK
0.013945750000000,I2C,0x27 + ACK
0.014895250000000,I2C,Setup Write to [0x3A] + ACK
0.014928000000000,I2C,0x1F + ACK
0.014960000000000,I2C,0x66 + ACK
0.015884000000000,I2C,Setup Write to [0x3A] + ACK
0.015916750000000,I2C,0x1B + ACK
0.015948750000000,I2C,0xC2 + ACK
0.016882250000000,I2C,Setup Write to [0x3A] + ACK
0.016915000000000,I2C,0x04 + ACK
0.016947000000000,I2C,0x05 + ACK
0.017881750000000,I2C,Setup Write to [0x3A] + ACK
0.017914500000000,I2C,0x0C + ACK
0.017946500000000,I2C,0x85 + ACK
0.018897250000000,I2C,Setup Write to [0x3A] + ACK
0.018929750000000,I2C,0x1A + ACK
0.018962000000000,I2C,0x8F + ACK
0.019900000000000,I2C,Setup Write to [0x3A] + ACK
0.019932750000000,I2C,0x05 + ACK
0.019965000000000,I2C,0x49 + ACK
0.020888250000000,I2C,Setup Write to [0x3A] + ACK
0.020921250000000,I2C,0x19 + ACK
0.020953250000000,I2C,0x40 + ACK
0.021883750000000,I2C,Setup Write to [0x3A] + ACK
0.021916250000000,I2C,0x01 + ACK
0.021948250000000,I2C,0x0C + ACK
0.022883500000000,I2C,Setup Write to [0x3A] + ACK
0.022916250000000,I2C,0x02 + ACK
0.022948250000000,I2C,0x40 + ACK
0.023884750000000,I2C,Setup Write to [0x3A] + ACK
0.023917500000000,I2C,0x08 + ACK
0.023949250000000,I2C,0x62 + ACK
0.024950000000000,I2C,Setup Write to [0x3A] + ACK
0.024983500000000,I2C,0x09 + ACK
0.025015750000000,I2C,0x40 + ACK
0.025892750000000,I2C,Setup Write to [0x3A] + ACK
0.025925750000000,I2C,0x03 + ACK
0.025957500000000,I2C,0x40 + ACK
0.026886750000000,I2C,Setup Write to [0x3A] + ACK
0.026919500000000,I2C,0x01 + ACK
0.026951500000000,I2C,0x0D + ACK
0.027887750000000,I2C,Setup Write to [0x3A] + ACK
0.027920250000000,I2C,0x1E + ACK
0.027952250000000,I2C,0xA7 + ACK
0.028888000000000,I2C,Setup Write to [0x3A] + ACK
0.028920500000000,I2C,0x11 + ACK
